user,text,favorite_count,retweet_count,created_at
elonmusk,Exactly https://t.co/tKIqJEXQEq,272578,31145,2025-09-28 19:23:09+00:00
elonmusk,🦾 https://t.co/9HRI1w3XM7,145389,14833,2025-09-28 19:21:23+00:00
elonmusk,Grok Fast now has a 2M token context window https://t.co/yJLCwU3FRE,31619,5092,2025-09-28 19:18:21+00:00
elonmusk,Grok Code now being used more than all other AIs combined on OpenRouter https://t.co/oUd8BSDZJw,54058,10121,2025-09-28 19:01:01+00:00
elonmusk,Wow https://t.co/t6K7I1Hc7W,105705,16673,2025-09-28 12:20:52+00:00
elonmusk,"Download the new @Grok app!

Much faster to ask &amp; answer questions. https://t.co/ocpHxxYECR",32110,6792,2025-09-27 22:14:38+00:00
elonmusk,Just Grok it https://t.co/n3U0RiJ9Of,54146,9906,2025-09-27 22:10:55+00:00
elonmusk,"Shame on Sky News for this utterly misleading headline. Anyone pushing this false narrative deserves complete contempt. 

Epstein tried to get me to go to his island and I REFUSED, yet they name me even before Prince Andrew, who did visit. https://t.co/9Pd3LXFeFm",465735,69100,2025-09-27 18:30:11+00:00
elonmusk,"The Grok Singularity 
 https://t.co/f8ui5rcBwT",123896,15719,2025-09-27 09:14:36+00:00
elonmusk,"Starship is real. 

And no AI was used to design it. https://t.co/9LB0fHt9nj",294017,27191,2025-09-27 09:11:42+00:00
elonmusk,Exactly https://t.co/K0RwrEbHr0,24469,3450,2025-09-27 08:58:10+00:00
elonmusk,True https://t.co/XSlZbd6O9q,156164,19783,2025-09-27 08:56:51+00:00
elonmusk,Is the algorithm starting to feel better?,180367,10738,2025-09-27 04:39:14+00:00
elonmusk,And Grok Code is improving every week https://t.co/ndrEDQDX45,38903,7421,2025-09-26 14:19:14+00:00
elonmusk,1.21 Gigawatts of training @xAI !!! https://t.co/KF5ANCUcEU https://t.co/Ucv5VLr6Ne,84694,10171,2025-09-26 14:08:55+00:00
elonmusk,Yup https://t.co/9xd8Yv46UX,294190,45013,2025-09-26 07:39:16+00:00
elonmusk,Cool shell formation found on beach walk https://t.co/VuouLGFG0m,593296,77758,2025-09-26 07:29:29+00:00
elonmusk,Very troubling https://t.co/6gGGxeB5mC,160786,28773,2025-09-26 07:21:15+00:00
elonmusk,Grok Vision can understand pretty much anything you point the camera at https://t.co/9IIpuhc32Z,52167,9876,2025-09-26 07:10:40+00:00
elonmusk,Just turn on voice and talk immediately on opening the Grok app https://t.co/U60x3MZcb7,43347,9171,2025-09-25 16:12:39+00:00
elonmusk,This is still just version 13 https://t.co/ebTv8Kb8Qz,73478,13458,2025-09-25 16:10:53+00:00
elonmusk,https://t.co/NNXrBFst7P,484795,32328,2025-09-25 09:25:06+00:00
elonmusk,Progress https://t.co/NKxZzedKif,44881,7707,2025-09-25 07:53:17+00:00
elonmusk,"Sometimes I say things so profound that people that it’s stupid. 

And sometimes I say things so stupid that people thinks it’s profound.",326608,25429,2025-09-25 07:52:02+00:00
elonmusk,https://t.co/kVYhXKIQGO,149966,20492,2025-09-24 06:57:39+00:00
elonmusk,Well done! https://t.co/8wPUqjzXxu,519248,94539,2025-09-23 15:07:30+00:00
elonmusk,"Help build Macrohard, the AI software company! https://t.co/AbI1yl6ZZT",64957,8051,2025-09-23 14:52:28+00:00
elonmusk,🇺🇸🇺🇸 America will NOT fall 🇺🇸🇺🇸 https://t.co/UZZOOtIDif,360129,71945,2025-09-23 14:47:39+00:00
elonmusk,Grok now holds first and second place https://t.co/2DLNksHkvU,53580,9335,2025-09-23 05:26:59+00:00
elonmusk,Thanks Robert! https://t.co/RIo10U7OP6,61680,7189,2025-09-23 04:55:41+00:00
elonmusk,How to vote your Tesla shares https://t.co/pGW6jAtRJ7,62058,19864,2025-09-23 04:33:33+00:00
elonmusk,Wow https://t.co/ipQ0nap5VM,464161,68660,2025-09-23 03:55:53+00:00
elonmusk,Well said https://t.co/aJklbgvlkJ,206000,41936,2025-09-22 16:25:53+00:00
elonmusk,Great work by the @SpaceX team! https://t.co/EVf80vyYZk,74891,10980,2025-09-22 04:50:12+00:00
elonmusk,Forgive us our trespasses as we forgive those who trespass against us,751890,91069,2025-09-22 00:08:00+00:00
elonmusk,https://t.co/NRT8iKStV8,578591,88570,2025-09-21 23:36:42+00:00
elonmusk,For Charlie https://t.co/8092jIt319,1239222,108681,2025-09-21 22:52:42+00:00
elonmusk,Erika Kirk speaking now https://t.co/8w7UhCrSB2,191429,20220,2025-09-21 21:57:10+00:00
